collection||الجامع الصغير
hadith|5846|فرخ الزنا لا يدخل الجنة (2)
hadith|5847|فرغ الله عز وجل إلى كل عبد من خمس: من أجله، ورزقه، وأثره، ومضجعه، وشقي أم سعيد (3)
hadith|5848|فرغ إلى ابن آدم من أربع: الخلق، والخلق، والرزق والأجل (1)
hadith|5849|فرق ما بيننا وبين المشركين العمائم على القلانس (2)
hadith|5850|فسطاط المسلمين يوم الملحمة الكبرى بأرض يقال لها: الغوطة، فيها مدينة يقال لها: دمشق، خير منازل المسلمين يومئذ (3)
hadith|5851|فصل ما بين الحلال والحرام: ضرب الدف، والصوت في النكاح (4)
hadith|5852|فصل ما بين صيامنا وصيام أهل الكتاب أكلة السحر (5)
hadith|5853|فصل ما بين لذة المرأة ولذة الرجل كأثر المخيط في الطين، إلا أن الله يسترهن بالحياء (6).
hadith|5854|فضل الجمعة في رمضان كفضل رمضان على الشهور (7)
hadith|5855|فضل الدار القريبة من المسجد على الدار الشاسعة كفضل الغازي على القاعد (8)
hadith|5856|فضل الشاب العابد الذي تعبد في صباه على الشيخ الذي تعبد بعد ما كبرت سنه كفضل المرسلين على سائر الناس (1)
hadith|5857|فضل الصلاة بالسواك على الصلاة بغير سواك سبعين ضعفا (2)
hadith|5858|فضل العالم على العابد كفضلي على أمتي (3)
hadith|5859|فضل العالم على العابد كفضلي على أدناكم، إن الله عز وجل وملائكته وأهل السماوات والأرضين حتى النملة في جحرها وحتى الحوت ليصلون على معلم الناس الخير (4)
hadith|5860|فضل العالم على العابد كفضل القمر ليلة البدر سائر الكواكب (5)
hadith|5861|فضل العالم على العابد سبعين درجة، ما بين كل درجتين كما بين السماء والأرض (6).
hadith|5862|فضل المؤمن العالم على المؤمن العابد سبعون درجة (7)
hadith|5863|فضل العالم على غيره كفضل النبي على أمته (1).
hadith|5864|فضل العلم أحب إلي من فضل العبادة، وخير دينكم الورع (2).
hadith|5865|فضل القرآن على سائر الكلام كفضل الرحمن على سائر خلقه (3)
hadith|5866|فضل الماشي خلف الجنازة على الماشي أمامها كفضل المكتوبة على التطوع (4)
hadith|5867|فضل الوقت الأول على الآخر كفضل الآخرة على الدنيا (5)
hadith|5868|فضل الصلاة في المسجد الحرام على غيره مائة ألف صلاة، وفي مسجدي ألف صلاة، وفي مسجد بيت المقدس خمسمائة صلاة (6)
hadith|5869|فضل صلاة الجماعة على صلاة الرجل وحده خمس وعشرون درجة، وفضل صلاة التطوع في البيت على فعلها في المسجد كفضل صلاة الجماعة على المنفرد (7)
hadith|5870|فضل صلاة الجميع على صلاة الواحد خمس وعشرون درجة، وتجتمع ملائكة الليل وملائكة النهار في صلاة الفجر (1).
hadith|5871|فضل صلاة الرجل في بيته على صلاته حيث يراه الناس كفضل المكتوبة على النافلة (2).
hadith|5872|فضل صلاة الليل على صلاة النهار كفضل صدقة السر على صدقة العلانية (3).
hadith|5873|فضل غازي البحر على غازي البر كفضل غازي البر على القاعد في أهله وماله (4)
hadith|5874|فضل غازي البحر على غازي البر كعشر غزوات في البر (5)
hadith|5875|فضل حملة القرآن على الذي لم يحمله كفضل الخالق على المخلوق (6)
hadith|5876|فضل الثريد على الطعام كفضل عائشة على النساء (7)
hadith|5877|فضل قراءة القرآن نظرا على من يقرؤه ظاهرا كفضل الفريضة على النافلة (8)
hadith|5878|فضل الله قريشا بسبع خصال لم يعطها أحد قبلهم ولا يعطاها أحد بعدهم: فضل الله قريشا أني منهم، وأن النبوة فيهم، وأن الحجابة فيهم، وأن السقاية فيهم، ونصرهم على الفيل، وعبدوا الله عشر سنين لا يعبده غيرهم، وأنزل فيهم سورة من القرآن لم يذكر فيها أحد غيرهم " لإيلاف قريش " (1)
hadith|5879|فضل الله قريشا بسبع خصال: فضلهم بأنهم عبدوا الله عشر سنين لا يعبد الله إلا قريش، وفضلهم بأنه نصرهم يوم الفيل وهم مشركون، وفضلهم بأنه نزلت فيهم سورة من القرآن لم يدخل فيها أحد من العالمين وهي " لإيلاف قريش "، وفضلهم بأن فيهم النبوة، والخلافة، والحجابة، والسقاية (2)
hadith|5880|فضلت على الأنبياء بست: أعطيت جوامع الكلم، ونصرت بالرعب، وأحلت لي الغنائم وجعلت لي الأرض طهورا ومسجدا، وأرسلت إلى الخلق كافة، وختم بي النبيون (3).
hadith|5881|فضلت على الأنبياء بخمس: بعثت إلى الناس كافة، وذخرت شفاعتي لأمتي، ونصرت بالرعب شهرا أمامي وشهرا خلفي، وجعلت لي الأرض مسجدا وطهورا، وأحلت لي الغنائم ولم تحل لأحد قبلي (4).
hadith|5882|فضلت بأربع: جعلت لي الأرض مسجدا وطهورا فأيما رجل من أمتي أتى الصلاة فلم يجد ما يصلي عليه وجد الأرض مسجدا وطهورا، وأرسلت إلى الناس كافة، ونصرت بالرعب من مسيرة شهرين يسير بين يدي، وأحلت لي الغنائم (1).
hadith|5883|فضلت بأربع: جعلت أنا وأمتي في الصلاة كما تصف الملائكة، وجعل الصعيد لي وضوءا وجعلت لي الأرض مسجدا وطهورا، وأحلت لي الغنائم (2)
hadith|5884|فضلت على الناس بأربع: بالسخاء، والشجاعة، وكثرة الجماع، وشدة البطش (3)
hadith|5885|فضلت على آدم بخصلتين: كان شيطاني كافرا فأعانني الله عليه حتى أسلم، وكن أزواجي عونا لي، وكان شيطان آدم كافرا، وكانت زوجته عونا على خطيئته (4)
hadith|5886|فضلت سورة الحج على القرآن بسجدتين (5).
hadith|5887|فضلت سورة الحج بأن فيها سجدتين، ومن لم يسجدهما فلا يقرأهما (6)
hadith|5888|فضلت المرأة على الرجل بتسعة وتسعين جزءا من اللذة، ولكن الله ألقى عليهن الحياء (1)
hadith|5889|فضلنا على الناس بثلاث: جعلت صفوفنا كصفوف الملائكة، وجعلت لنا الأرض كلها مسجدا، وجعلت تربتها لنا طهورا إذا لم نجد الماء، وأعطيت الآيات من آخر سورة البقرة من كنز تحت العرش لم يعطها نبي قبلي (2)
hadith|5890|فضوح الدنيا أهون من فضوح الآخرة (3).
hadith|5891|فطركم يوم تفطرون، وأضحاكم يوم تضحون، وعرفة يوم تعرفون (4)
hadith|5892|فطركم يوم تفطرون، وأضحاكم يوم تضحون، وكل عرفة موقف، وكل منى منحر، وكل فجاج مكة منحر، وكل جمع موقف (5).
hadith|5893|فعل المعروف يقي مصارع السوء (6).
hadith|5894|فقدت أمة من بني إسرائيل لا يدرى ما فعلت، وإني لأراها إلا الفأر: ألا ترونها إذا وضع لها ألبان الإبل لم تشرب، وإذا وضع لها ألبان الشاء شربت (1)
hadith|5895|فقراء المهاجرين يدخلون الجنة قبل أغنيائهم بخمسمائة عام (2).
hadith|5896|فقيه واحد أشد على الشيطان من ألف عابد (3).
hadith|5897|فكرة ساعة خير من عبادة ستين سنة (4)
hadith|5898|فكوا العاني، وأجيبوا الداعي، وأطعموا الجائع، وعودوا المريض (5).
hadith|5899|فلق البحر لبني إسرائيل يوم عاشوراء (6).
hadith|5900|فمن أعدى الأول (7)
hadith|5901|فناء أمتي بالطعن، والطاعون وخز أعدائكم من الجن، وفي كل شهادة (8).
hadith|5902|فهلا بكرا تلاعبها وتلاعبك، وتضاحكها وتضاحكك (1).
hadith|5903|فهلا بكرا تعضها وتعضك (2).
hadith|5904|فوا لهم، ونستعين الله عليهم (3)
hadith|5905|في الإبل صدقتها، وفي الغنم صدقتها، وفي البقر صدقتها، وفي البر صدقته، ومن رفع دنانير أو دراهم أو تبرا أو فضة لا يعدها لغريم ولا ينفقها في سبيل الله فهو كنز يكوى به يوم القيامة (4).
hadith|5906|في الإبل فرع، وفي الغنم فرع، ويعق عن الغلام، ولا يمس رأسه بدم (5).
hadith|5907|في الأسنان خمس خمس من الإبل (6).
hadith|5908|في الأصابع عشر عشر (7).
hadith|5909|في الأنف الدية إذا استوعى جدعة مائة من الإبل، وفي اليد خمسون، وفي الرجل خمسون، وفي العين خمسون، وفي الآمة ثلث النفس، وفي الجائفة ثلث النفس، وفي المنقلة خمس عشرة، وفي الموضحة خمس، وفي السن خمس، وفي كل أصبع مما هنالك عشر (1)
hadith|5910|في الإنسان ستون وثلاثمائة مفصل، فعليه أن يتصدق عن كل مفصل منها صدقة: النخاعة في المسجد تدفنها، والشئ تنحيه عن الطريق. فإن لم تقدر فركعتا الضحى تجزئ عنك (2).
hadith|5911|في الإنسان ثلاثة: الطيرة، والظن، والحسد. فمخرجه من الطيرة أن لا يرجع، ومخرجه من الظن أن لا يحقق، ومخرجه من الحسد أن لا يبغي (3).
hadith|5912|في البطيخ عشر خصال: هو طعام، وشراب، وريحان، وفاكهة، وأشنان، ويغسل البطن، ويكثر ماء الظهر، ويزيد في الجماع، ويقطع الأبردة، وينقي البشرة (4)
hadith|5913|في التلبينة شفاء من كل داء (5)
hadith|5914|في الجمعة ساعة لا يوافقها عبد يستغفر الله إلا غفر له (6)
hadith|5915|في الجنة مائة درجة، ما بين كل درجتين مائة عام (1).
hadith|5916|في الجنة ثمانية أبواب، فيها باب يسمى الريان لا يدخله إلا الصائمون (2)
hadith|5917|في الجنة باب يدعى الريان، يدعى له الصائمون، فمن كان من الصائمين دخله، ومن دخله فلا يظمأ أبدا (3).
hadith|5918|في الجنة خيمة من لؤلؤة مجوفة عرضها ستون ميلا، في كل زاوية منها أهل ما يرون الآخرين، يطوف عليهم المؤمن (4)
hadith|5919|في الجنة مائة درجة ما بين كل درجتين كما بين السماء والأرض، والفردوس أعلاها درجة، ومنها تفجر أنهار الجنة الأربعة، ومن فوقها يكون العرش، فإذا سألتم الله فسلوه الفردوس (5)
hadith|5920|في الجنة ما لا عين رأت، ولا أذن سمعت، ولا خطر على قلب بشر (6)
hadith|5921|في الحبة السوداء شفاء من كل داء إلا السام (7)
hadith|5922|في الحجم شفاء (1).
hadith|5923|في الخيل السائبة في كل فرس دينار (2).
hadith|5924|في الخيل وأبوالها وأرواثها كف من مسك الجنة (3)
hadith|5925|في الذباب أحد جناحيه داء وفي الآخر شفاء، فإذا وقع في الإناء فارسبوه فيذهب شفاؤه بدائه (4).
hadith|5926|في الركاز الخمس (5).
hadith|5927|في الركاز العشر (6)
hadith|5928|في السماء ملكان أحدهما يأمر بالشدة، والآخر يأمر باللين، وكلاهما مصيب: أحدهما جبريل، والآخر ميكائيل. ونبيان أحدهما يأمر باللين والآخر بالشدة، وكل مصيب: إبراهيم ونوح. ولي صاحبان أحدهما يأمر باللين والآخر بالشدة: أبو بكر وعمر (7).
hadith|5929|في السمع مائة من الإبل، وفي العقل مائة من الإبل (8).
hadith|5930|في السواك عشر خصال: يطيب الفم، ويشد اللثة، ويجلو البصر، ويذهب البلغم، ويذهب الحفر، ويوافق السنة، ويفرح الملائكة، ويرضي الرب، ويزيد في الحسنات، ويصحح المعدة (1)
hadith|5931|في الضبع كبش (2)
hadith|5932|في الضبع كبش، وفي الظبي شاة، وفي الأرنب عناق، وفي اليربوع جفرة (3).
hadith|5933|في العسل في كل عشرة أزق زق (4).
hadith|5934|في الغلام عقيقة، فأهريقوا عنه دما، وأميطوا عنه الأذى (5).
hadith|5935|في الكبد الحارة أجر (6)
hadith|5936|في اللبن صدقة (7).
hadith|5937|في اللسان الدية إذا منع الكلام، وفي الذكر الدية إذا قطعت الحشفة، وفي الشفتين الدية (8).
hadith|5938|في المؤمن ثلاث خصال: الطيرة، والظن والحسد فمخرجه من الطيرة أن لا يرجع، ومخرجه من الظن أن لا يحقق، ومخرجه من الحسد أن لا يبغي (1)
hadith|5939|في المنافق ثلاث خصال: إذا حدث كذب، وإذا وعد أخلف، وإذا ائتمن خان (2)
hadith|5940|في المواضح خمس خمس من الإبل (3)
hadith|5941|في أحد جناحي الذباب سم والآخر شفاء، فإذا وقع في الطعام فامقلوه فيه، فإنه يقدم السم ويؤخر الشفاء (4).
hadith|5942|في الوضوء إسراف وفي كل شئ إسراف (5).
hadith|5943|في أبوال الإبل وألبانها شفاء للذربة بطونهم (6)
hadith|5944|في أصحابي اثنا عشر منافقا: منهم ثمانية لا يدخلون الجنة حتى يلج الجمل في سم الخياط (7)
hadith|5945|في أمتي خسف ومسخ وقذف (8)
hadith|5946|في أمتي كذابون ودجالون سبعة وعشرين، منهم أربع نسوة. وإني خاتم النبيين، لا نبي بعدي (1).
hadith|5947|في بيض النعام يصيبه المحرم ثمنه (2).
hadith|5948|في بيضة نعام صيام يوم أو إطعام مسكين (3).
hadith|5949|في ثقيف كذاب ومبير (4).
hadith|5950|في ثلاثين من البقر تبيع أو تبيعة، وفي أربعين من البقر مسنة (5)
hadith|5951|في جهنم واد، وفي الوادي بئر يقال لها " هبهب "، حق على الله أن يسكنها كل جبار (6).
hadith|5952|في خمس من الإبل شاة، وفي عشر شاتان، وفي خمس عشرة ثلاث شياه، وفي عشرين أربع شياه، وفي خمس وعشرين ابنة مخاض، إلى خمس وثلاثين، فإن زادت واحدة ففيها ابنة لبون، إلى خمس وأربعين، فإذا زادت واحدة ففيها حقة، إلى ستين فإن زادت واحدة ففيها جذعة، إلى خمس وسبعين، فإذا زادت واحدة ففيها بنتا لبون، إلى تسعين، فإذا زادت واحدة ففيها حقتان إلى عشرين ومائة، فإن كانت الإبل أكثر من ذلك ففي كل خمسين حقة وفي كل أربعين بنت لبون، فإذا كانت إحدى وعشرين ومائة ففيها ثلاث بنات لبون حتى تبلغ تسعا وعشرين ومائة، فإذا كانت ثلاثين ومائة ففيها بنت لبون وحقة، حتى تبلغ تسعا وثلاثين ومائة، فإذا كانت أربعين ومائة ففيها حقتان وبنت لبون، حتى تبلغ تسعا وأربعين ومائة، فإذا كانت خمسين ومائة ففيها ثلاث حقاق، حتى تبلغ تسعا وخمسين ومائة، فإذا كانت ستين ومائة ففيها أربع بنات لبون حتى تبلغ تسعا وستين ومائة، فإذا كانت سبعين ومائة ففيها ثلاث بنات لبون وحقة حتى تبلغ تسعا وسبعين ومائة، فإذا كانت ثمانين ومائة ففيها حقتان وابنتا لبون، حتى تبلغ تسعا وثمانين ومائة، فإذا كانت تسعين ومائة ففيها ثلاث حقاق وبنت لبون، حتى تبلغ تسعا وتسعين ومائة، فإذا كانت مائتين ففيها أربع حقاق أو خمس بنات لبون، أي السنين وجدت أخذت، وفي سائمة الغنم في كل أربعين شاة شاة إلى عشرين ومائة، فإن زادت واحدة فشاتان إلى المائتين، فإن زادت على المائتين ففيها ثلاث، إلى ثلاثمائة، فإن كانت الغنم أكثر من ذلك ففي كل مائة شاة شاة، ليس فيها شئ حتى تبلغ المائة ولا يفرق بين مجتمع، ولا يجمع بين متفرق مخافة الصدقة، وما كان من خليطين فإنهما يتراجعان بالسوية، ولا يؤخذ في الصدقة هرمة، ولا ذات عوار من الغنم، ولا تيس الغنم، إلا أن يشاء المصدق (1)
hadith|5953|في دية الخطأ عشرون حقة، وعشرين جذعة، وعشرون بنت مخاض، وعشرون بنت لبون، وعشرون بني مخاض ذكر (1)
hadith|5954|في طعام العرس مثقال من ريح الجنة (2)
hadith|5955|في عجوة العالية، أول البكرة على ريق النفس، شفاء من كل سحر أو سم (3)
hadith|5956|في كتاب الله ثمان آيات للعين: الفاتحة، وآية الكرسي (4).
hadith|5957|في كل إشارة في الصلاة عشر حسنات (5)
hadith|5958|في كل ذات كبد حرى أجر (6).
hadith|5959|في كل ركعتين تسليمة (7)
hadith|5960|في كل ركعتين التحية (8)
hadith|5961|في كل ركعة تشهد وتسليم على المرسلين، وعلى من تبعهم من عباد الله الصالحين (9)
hadith|5962|في كل قرن من أمتي سابقون (1)
hadith|5963|في ليلة النصف من ح شعبان يغفر الله لأهل الأرض، إلا لمشرك أو مشاحن (2)
hadith|5964|في ليلة النصف من شعبان يوحي الله إلى ملك الموت بقبض كل نفس يريد قبضها في تلك السنة (3)
hadith|5965|في مسجد الخيف قبر سبعين نبيا (4)
hadith|5966|في هذا مرة، وفي هذا مرة، يعني القرآن والشعر (5)
hadith|5967|في هذه الأمة خسف ومسخ وقذف في أهل القدر (6)
hadith|5968|في هذه الأمة خسف ومسخ وقذف: إذا ظهرت القيان والمعازف، وشربت الخمور (7).
hadith|5969|فيما سقت السماء والأنهار والعيون أو كان عثريا العشر. وفيما يسقي بالسواني أو النضح: نصف العشر (8)
hadith|5970|فيهما فجاهد، يعني الوالدين (1). * 2 * فصل: في المحلى بأل من حرف الفاء
hadith|5971|الفاجر الراجي لرحمة الله تعالى أقرب منها من العابد المقنط (2)
hadith|5972|الفار من الطاعون كالفار من الزحف، والصابر فيه كالصابر في الزحف (3).
hadith|5973|الفار من الطاعون كالفار من الزحف، ومن صبر فيه كان له أجر شهيد (4)
hadith|5974|الفأل مرسل، والعطاس شاهد عدل (5)
hadith|5975|الفتنة نائمة لعن الله من أيقظها (6)
hadith|5976|الفجر فجران: فجر يحرم فيه الطعام وتحل فيه الصلاة، وفجر تحرم فيه الصلاة ويحل فيه الطعام (7).
hadith|5977|الفجر فجران: فأما الفجر الذي يكون كذنب السرحان فلا يحل الصلاة ولا يحرم الطعام، وأما الذي يذهب مستطيلا في الأفق فإنه يحل الصلاة ويحرم الطعام (1).
hadith|5978|الفخذ عورة (2)
hadith|5979|الفخر والخيلاء في أهل الإبل، والسكينة والوقار في أهل الغنم (3)
hadith|5980|الفرار من الطاعون كالفرار من الزحف (4)
hadith|5981|الفردوس ربوة الجنة وأعلاها وأوسطها، ومنها تفجر أنهار الجنة (5)
hadith|5982|الفريضة في المسجد، والتطوع في البيت (6)
hadith|5983|الفضل في أن تصل من قطعك، وتعطي من حرمك، وتعفو عمن ظلمك (7)
hadith|5984|الفطر يوم يفطر الناس، والأضحى يوم يضحي الناس (8).
hadith|5985|الفطرة على كل مسلم (1).
hadith|5986|الفقر أزين على المؤمن من العذار الحسن على خد الفرس (2).
hadith|5987|الفقر أمانة، فمن كتمه كان عبادة، ومن باح به فقد قلد إخوانه المسلمين (3)
hadith|5988|الفقر شين عند الناس، وزين عند الله يوم القيامة (4).
hadith|5989|الفقهاء أمناء الرسل، ما لم يدخلوا في الدنيا، ويتبعوا السلطان، فإذا فعلوا ذلك فاحذروهم (5).
hadith|5990|الفقه يمان، والحكمة يمانية (6).
hadith|5991|الفلق: جب في جهنم مغطى (7)
hadith|5992|الفلق سجن في جهنم، يحبس فيه الجبارون والمتكبرون، وإن جهنم لتتعوذ بالله منه (8) باب: حرف القاف
book||حرف القاف
hadith|5993|قابلوا النعال (1)
hadith|5994|قاتل الله اليهود، إن الله عز وجل لما حرم عليهم الشحوم جملوها ثم باعوها فأكلوا أثمانها (2).
hadith|5995|قاتل الله اليهود، اتخذوا قبور أنبيائهم مساجد (3)
hadith|5996|قاتل الله قوما يصورون ما لا يخلقون (4)
hadith|5997|قاتل دون مالك، حتى تحوز مالك، أو تقتل فتكون من شهداء الآخرة (5)
hadith|5998|قاتل عمار وسالبه في النار (6).
hadith|5999|قارئ سورة الكهف، تدعى في التوراة الحائلة، تحول بين قارئها وبين النار (7)
hadith|6000|قارئ " اقتربت " تدعى بالتوراة المبيضة، تبيض وجه صاحبها يوم تسود الوجوه (1).
hadith|6001|قارئ " الحديد " و " إذا وقعت " و " الرحمن " يدعى في ملكوت السماوات والأرض ساكن الفردوس (2).
hadith|6002|قارئ " ألهاكم التكاثر " يدعى في الملكوت مؤدي الشكر (3).
hadith|6003|قاربوا، وسددوا، ففي كل ما يصاب به المسلم كفارة، حتى النكبة ينكبها، والشوكة يشاكها (4).
hadith|6004|قاضيان في النار، وقاض في الجنة: قاض عرف الحق فقضى به فهو في الجنة، وقاض عرف الحق فجار متعمدا، أو قضى بغير علم، فهما في النار (5).
hadith|6005|قاطع السدر يصوب الله رأسه في النار (6)
hadith|6006|قال الله تعالى: يا ابن آدم، لا تعجز عن أربع ركعات في أول النهار أكفك آخره (1).
hadith|6007|قال الله تعالى: يا ابن آدم، صل لي أربع ركعات من أول النهار أكفك آخره (2).
hadith|6008|قال الله تعالى: إني والجن والإنس في نبأ عظيم: أخلق ويعبد غيري، وأرزق ويشكر غيري؟!! (3).
hadith|6009|قال الله تعالى: من لم يرضى بقضائي، ولم يصبر على بلائي، فليلتمس ربا سواي (4).
hadith|6010|قال الله تعالى: من لم يرضى بقضائي وقدري، فليلتمس ربا غيري
hadith|6011|قال الله تعالى: الصيام جنة يستجن بها العبد من النار، وهو لي، وأنا أجزي به (6).
hadith|6012|قال الله تعالى: كل عمل ابن آدم له، إلا الصيام فإنه لي وأنا أجزي به، والصيام جنة، وإذا كان يوم صوم أحدكم فلا يرفث، ولا يصخب، وإن سابه أحد أو قاتله فليقل: " إني امرؤ صائم ". والذي نفس محمد بيده لخلوف فم الصائم أطيب عند الله من ريح المسك. وللصائم فرحتان يفرحهما: إذا أفطر فرح بفطره، وإذا لقي ربه فرح بصومه (1).
hadith|6013|قال الله تعالى: ثلاثة أنا خصمهم يوم القيامة: رجل أعطى بي ثم غدر، ورجل باع حرا فأكل ثمنه، ورجل أستأجر أجيرا فاستوفى منه ولم يعطه أجره (2).
hadith|6014|قال الله تعالى: شتمني ابن آدم وما ينبغي له أن يشتمني، وكذبني وما ينبغي له أن يكذبني، أما شتمه إياي فقوله: إن لي ولدا. وأنا الله الأحد الصمد، لم ألد ولم أولد ولم يكن لي كفوا أحد، وأما تكذيبه إياي فقوله: ليس يعيدني كما بدأني. وليس أول الخلق بأهون علي من إعادته (3).
hadith|6015|قال الله تعالى: كذبني ابن آدم ولم يكن له ذلك، وشتمني ولم يكن له ذلك، فأما تكذيبه إياي فزعم أني لا أقدر أن أعيده كما كان، وأما شتمه إياي فقوله: لي ولد. فسبحاني أن أتخذ صاحبة أو ولدا (4).
hadith|6016|قال الله تعالى: أعددت لعبادي الصالحين ما لا عين رأت، ولا أذن سمعت، ولا خطر على قلب بشر (1).
hadith|6017|قال الله تعالى: إذا هم عبدي بحسنة ولم يعملها كتبتها له حسنة، فإن عملها كتبتها له عشر حسنات، إلى سبعمائة ضعف، وإذا هم بسيئة ولم يعملها لم أكتبها عليه، فإن عملها كتبتها عليه سيئة واحدة (2).
hadith|6018|قال الله تعالى: إذا أحب عبدي لقائي أحببت لقاءه، وإذا كره لقائي كرهت لقاءه (3).
hadith|6019|قال الله تعالى: قسمت الصلاة بيني وبين عبدي نصفين، ولعبدي ما سأل، فإذا قال العبد: " الحمد الله رب العالمين " قال الله: حمدني عبدي، فإذا قال: " الرحمن الرحيم " قال الله: أثنى علي عبدي، فإذا قال: " مالك يوم الدين " قال مجدني عبدي، فإذا قال: " إياك نعبد وإياك نستعين " قال: هذا بيني وبين عبدي ولعبدي ما سأل، فإذا قال: " إهدنا الصراط المستقيم صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين " قال: هذا لعبدي ولعبدي ما سأل (4)
hadith|6020|قال الله تعالى: يا عبادي، إني حرمت الظلم على نفسي، وجعلته محرما بينكم، فلا تظالموا، يا عبادي، كلكم ضال إلا من هديته، فاستهدوني أهدكم، يا عبادي كلكم جائع إلا من أطعمته، فاستطعموني أطعمكم، يا عبادي كلكم عار إلا من كسوته فاستكسوني أكسكم، يا عبادي، إنكم تخطئون بالليل والنهار وأنا أغفر الذنوب جميعا، فاستغفروني أغفر لكم، يا عبادي، إنكم لن تبلغوا ضري فتضروني ولن تبلغوا نفعي فتنفعوني، يا عبادي، لو أن أولكم وآخركم وإنسكم وجنكم كانوا على أتقى قلب رجل واحد منكم ما زاد ذلك في ملكي شيئا، يا عبادي، لو أن أولكم وآخركم وإنسكم وجنكم كانوا على أفجر قلب رجل واحد منكم ما نقص ذلك من ملكي شيئا، يا عبادي، لو أن أولكم وآخركم وإنسكم وجنكم قاموا في صعيد واحد فسألوني فأعطيت كل إنسان مسألته ما نقص ذلك مما عندي إلا كما ينقص المخيط إذا أدخل البحر، يا عبادي إنما هي أعمالكم أحصيها لكم ثم أوفيكم إياها: فمن وجد خيرا فليحمد الله، ومن وجد غير ذلك فلا يلومن إلا نفسه (1).
hadith|6021|قال الله تعالى: إذا ابتليت عبدا من عبادي مؤمنا فحمدني وصبر على ما ابتليته فإنه يقوم من مضجعه ذلك كيوم ولدته أمه من الخطايا، ويقول الرب للحفظة: إني قيدت عبدي هذا وابتليته فأجروا له ما كنتم تجرون له قبل ذلك من الأجر، وهو صحيح (2).
hadith|6022|قال الله تعالى: يا ابن آدم، إنك ما ذكرتني شكرتني، وإذا ما نسيتني كفرتني (1).
hadith|6023|قال الله عز وجل: أنفق، أنفق عليك (2).
hadith|6024|قال الله تعالى: يؤذيني ابن آدم، يسب الدهر، وأنا الدهر: بيدي الأمر، أقلب الليل والنهار (3).
hadith|6025|قال الله تعالى: يؤذيني ابن آدم يقول: " يا خيبة الدهر "، فلا يقولن أحدكم: " يا خيبة الدهر "، فإني أنا الدهر: أقلب ليله ونهاره، فإذا شئت قبضتهما (4)
hadith|6026|قال الله تعالى: سبقت رحمتي غضبي (5)
hadith|6027|قال الله تعالى: ومن أظلم ممن ذهب يخلق خلقا كخلقي؟ فليخلقوا حبة، أو ليخلقوا ذرة، أو ليخلقوا شعيرة (6)
hadith|6028|قال الله تعالى: لا يأتي ابن آدم النذر بشئ لم أكن قد قدرته ولكن يلقيه النذر إلى القدر، وقد قدرته له، أستخرج به من البخيل، فيؤتيني عليه ما لم يكن يؤتيني من قبل (7).
hadith|6029|قال الله تعالى: إذا تقرب إلي العبد شبرا تقربت إليه ذراعا، وإذا تقرب إلي ذراعا تقربت منه باعا، وإذا أتاني مشيا أتيته هرولة (1)
hadith|6030|قال الله تعالى: لا ينبغي لعبد لي أن يقول: أنا خير من يونس بن متى (2).
hadith|6031|قال الله تعالى أنا أغنى الشركاء عن الشرك، من عمل عملا أشرك فيه معي غيري تركته وشركه (3)
hadith|6032|قال الله تعالى: أنا الرحمن، أنا خلقت الرحم، وشققت لها اسما من اسمي: فمن وصلها وصلته، ومن قطعها قطعته، ومن بتها بتته (4).
hadith|6033|قال الله تعالى: الكبرياء ردائي، والعظمة إزاري، فمن نازعني واحدا منهما قذفته في النار (5).
hadith|6034|قال الله تعالى: الكبرياء ردائي، فمن نازعني ردائي قصمته (6).
hadith|6035|قال الله تعالى: الكبرياء ردائي، والعز إزاري، فمن نازعني في شئ منهما عذبته (1)
hadith|6036|قال الله تعالى: أحب عبادي إلي أعجلهم فطرا (1).
hadith|6037|قال الله تعالى: المتحابون في جلالي لهم منابر من نور يغبطهم النبيون والشهداء (3).
hadith|6038|قال الله تعالى: وجبت محبتي للمتحابين في، والمتجالسين في، والمتباذلين في، والمتزاورين في (4).
hadith|6039|قال الله تعالى: أحب ما تعبدني به عبدي إلي، النصح لي (5).
hadith|6040|قال الله تعالى أيما عبد من عبادي يخرج مجاهدا في سبيلي ابتغاء مرضاتي ضمنت له أن أرجعه إن أرجعته بما أصاب من أجر أو غنيمة، وإن قبضته أن أغفر له، وأرحمه، وأدخله الجنة (6).
hadith|6041|قال الله تعالى: افترضت على أمتك خمس صلوات، وعهدت عندي عهدا أنه من حافظ عليهن لوقتهن أدخلته الجنة، ومن لم يحافظ عليهن فلا عهد له عندي (1)
hadith|6042|قال الله تعالى: إذا بلغ عبدي أربعين سنة عافيته من البلايا الثلاث: من الجنون، والبرص، والجذام، وإذا بلغ خمسين سنة حاسبته حسابا يسيرا، وإذا بلغ ستين سنة حببت إليه الإنابة، وإذا بلغ سبعين سنة أحبته الملائكة، وإذا بلغ ثمانين سنة كتبت حسناته وألقيت سيئاته، وإذا بلغ تسعين سنة قالت الملائكة: أسير الله في أرضه، فغفر له ما تقدم من ذنبه وما تأخر، ويشفع في أهله (2)
hadith|6043|قال الله تعالى: إذا وجهت إلى عبد من عبيدي مصيبة في بدنه أو في ولده أو في ماله فاستقبله بصبر جميل، استحييت يوم القيامة أن أنصب له ميزانا، أو أنشر له ديوانا (2).
